Name,Phone,Website,Address
Morrison Cafe,N/A,N/A,"6X69+VCV, Court Rd, Kundeshwari, Kashipur, Uttarakhand 244713 "
Hotel Park View & Restaurant (Best Restaurant in Kashipur),N/A,N/A,"Main Market Nagar Palika Compound, Kashipur, Uttarakhand 244713 "
Sunshine family restaurant,N/A,N/A,"2nd floor, Ramnagar road stadium choraha, near by manjeet electronics, Kashipur, Uttarakhand 244713 "
KATHIPURA KATHIROLLS,N/A,N/A,"Ramnagar Rd, Kashipur, Uttarakhand 244713 "
Family mart and restaurants,063974 77441 ,N/A,"Nigra, Kashipur, Rampura, Uttarakhand 244713 "
Hills Top Hotel and Restaurant,075053 85362 ,N/A,"6XRM+2G8, Rampura, Ramnagar Rd, Kashipur, Kharmasi, Uttarakhand 244713 "
Punjabi Giril Veg & Nonveg,N/A,N/A,"Na Kashipur, Kashipur, Uttarakhand 244713 "
Kabira Cafe & Restaurant,N/A,N/A,"New Chamunda Vihar, Kashipur, Uttarakhand 244713 "
The Blue China Restaurant,N/A,N/A,"6X55+8J4, Opposite Neha Gas Agency, Arya Nagar, Kashipur, Uttarakhand 244713 "
KUMAON HOTEL & RESTAURANT,05947 274 392 ,N/A,"6XF9+2W6, Neejhra, Uttarakhand 244713 "
Hotel Ananya Regency - Gateway to Corbett,095688 00044 ,hotelananyaregency.com ,"Ramnagar Road, near RAILWAY CROSSING, Kashipur, Uttarakhand 244713 "
Bagiya Food Corner,087558 73806 ,N/A,"Stadium, Manpur Rd, R K Puram, Kashipur, Uttarakhand 244713 "
Jina Zamato Restaurant & Banquet,074678 07801 ,N/A,"Ramnagar Rd, Kashipur, Uttarakhand 244713 "
Udupi Cafe Kashipur,099270 17999 ,udupicafe.co.in ,"Ramnagar Rd, Kashipur, Bhogpurkashipur, Uttarakhand 244713 "
Batra Veg and Nonveg,099978 78585 ,N/A,"Ramnagar Rd, Kashipur, Uttarakhand 244713 "
Balli Da Dhaba(Pure Veg),072172 87187 ,N/A,"NH 734, near Parmanandpur, Kashipur, Uttarakhand 244713 "
Bhaj Govindam Restaurant And Bakery,074094 03722 ,N/A,"Ramnagar Rd, Kashipur, Uttarakhand 244713 "
The Wooden Leaf restaurant,N/A,N/A,"jaspur road, near anaj mandi, Kashipur, Uttarakhand 244713 "
Al-Baik Kashipur,092594 33049 ,N/A,"Moradabad Rd, near Kukku Tyre house, Kashipur, Uttarakhand 244713 "
Goraya Family Restaurant and Punjabi Dhaba,N/A,N/A,"Moradabad Road, Near Anaaj Mandi, Sarwar Khera, Uttarakhand 244713 "
SFC FAMILY RESTAURANT,099173 73325 ,N/A,"Bazpur - Kundeshwari Link Rd, Vaishali Colony, Kashipur, Uttarakhand 244713 "
Yum Yum Soya Chaap Tandoori Junction,073007 64668 ,N/A,"Kashipur, Uttarakhand 244713 "
The Boyys,N/A,N/A,"near Gandhi Ashram Market, opposite to Bazpur bus stand, Kashipur, Uttarakhand 244713 "
Quick moods,079006 87777 ,N/A,"Quick moods, Bajpur Rd, near Pagia Hospital, opposite private bus stand, Kashipur, Uttarakhand 244713 "
Jashn Restaurant,N/A,N/A,"Sanskriti Greens Terrace, Patel Nagar Road, near Taxi Stand Road, opposite Old Anaj Mandi, Kundeshwari, Kashipur, Uttarakhand 244713 "
Punjabi Grill 121,089230 90479 ,N/A,"Ramnagar Rd, Kashipur, Uttarakhand 244713 "
